epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1043.04,1.3946,1.21397,1.4222,0.84578,0.77058,0.84075,0.48421,1.45214,0.86849,1.48651,0.00999759,0.00333253,0.00999759,0.00333253,0.00999759,0.00333253,0.00999759,0.00333253
2,1810.27,1.30334,0.90868,1.31239,0.87612,0.7863,0.85687,0.50838,1.42169,0.81039,1.47715,0.0193377,0.00644589,0.0193377,0.00644589,0.0193377,0.00644589,0.0193377,0.00644589
3,2506.5,1.34143,0.97214,1.35231,0.8789,0.7744,0.85703,0.49692,1.44432,0.83506,1.52135,0.0280178,0.00933925,0.0280178,0.00933925,0.0280178,0.00933925,0.0280178,0.00933925
4,3181.36,1.33783,0.95348,1.35265,0.88922,0.81598,0.88392,0.52147,1.40279,0.75007,1.50795,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,3852.66,1.29038,0.86698,1.32802,0.91537,0.81629,0.89786,0.5371,1.38738,0.69911,1.48248,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,4526.57,1.25484,0.81384,1.30791,0.89279,0.83191,0.89305,0.54668,1.35058,0.67914,1.46924,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,5199.2,1.22194,0.77244,1.28474,0.89823,0.85325,0.91176,0.5592,1.35024,0.64196,1.45578,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,5873.14,1.20042,0.74259,1.2739,0.90798,0.86459,0.91679,0.5706,1.33311,0.61764,1.45003,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,6546.14,1.17508,0.71504,1.25237,0.90302,0.8634,0.9186,0.57862,1.3075,0.59557,1.41723,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,7217.86,1.15205,0.68551,1.23773,0.90817,0.87443,0.92876,0.59354,1.283,0.58586,1.41061,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,7885.47,1.13155,0.66804,1.22395,0.92627,0.86656,0.92828,0.59579,1.28496,0.56871,1.40145,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,8559.96,1.11046,0.64864,1.21111,0.9234,0.88266,0.93529,0.60196,1.26519,0.54755,1.38229,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,9229.91,1.08516,0.63065,1.20276,0.92956,0.87786,0.93553,0.60371,1.26354,0.53911,1.39094,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,9905.09,1.06206,0.60899,1.18804,0.93746,0.87797,0.93623,0.60893,1.2483,0.53828,1.37917,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,10573.9,1.04559,0.59787,1.17899,0.91556,0.89325,0.93738,0.61416,1.23829,0.52445,1.37354,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,11250.8,1.02183,0.58061,1.16278,0.93106,0.88585,0.9386,0.61671,1.23319,0.51762,1.36891,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,11920.4,1.00227,0.56676,1.1563,0.93817,0.87515,0.93693,0.61982,1.2221,0.51442,1.35728,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,12595.8,0.97775,0.5517,1.14236,0.93549,0.89087,0.94135,0.62519,1.21453,0.50566,1.35151,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,13275.2,0.96016,0.53985,1.13374,0.93694,0.89302,0.94359,0.62842,1.20895,0.50356,1.34962,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,13951.5,0.9434,0.52499,1.12451,0.94365,0.88469,0.9433,0.6294,1.2064,0.49801,1.34594,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,14648,0.89853,0.42556,1.10993,0.93467,0.89761,0.94351,0.63324,1.20143,0.49585,1.34483,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,15321.1,0.87723,0.41244,1.10093,0.93202,0.90215,0.94368,0.63418,1.1971,0.49571,1.34412,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,15989.3,0.84945,0.39661,1.08591,0.93495,0.89835,0.94437,0.63697,1.19168,0.49469,1.34054,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,16659.6,0.8278,0.38305,1.07507,0.94414,0.88999,0.94394,0.63856,1.1884,0.49527,1.33933,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,17327,0.80478,0.37065,1.06452,0.93768,0.89643,0.94381,0.64096,1.18448,0.49368,1.3385,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
